ID,HOSPITAL NAME,CITY,STATE,REASON FOR DELETION
6710314,North Metro Medical Center,Jacksonville,AR,Closed
6720066,Memorial Specialty Hospital,Lake Charles,LA,Closed
6720119,Heart Hospital of Lafayette,Lafayette,LA,"Merged into 6720343 Our Lady of Lourdes Regional Medical Center Lafayette, LA"
6720145,Lafayette Surgical Specialty Hospital,Lafayette,LA,"Merged into  6720340 Oschner Lafayette General Medical Center Lafayette, LA"
6720198,Lafayette General Surgical Hospital,Lafayette,LA,"Merged into  6720340 Oschner Lafayette General Medical Center Lafayette, LA"
6720345,Women's and Children's Hospital,Lafayette,LA,"Merged into 6720343 Our Lady of Lourdes Regional Medical Center Lafayette, LA"
6720374,Oceans Behavioral Hospital of Kentwood,Kentwood,LA,Closed
6720388,St. Catherine Memorial Hospital,New Orleans,LA,Closed
6720504,Oceans Behavioral Hospital of Crowley,Rayne,LA,Closed
6730056,Integris Bass Pavilion,Enid,OK,Closed
6730780,INTEGRIS Deaconess,Oklahoma City,OK,"Merged into 6730728 INTEGRIS Baptist Medical Center Oklahoma City, OK"
6731088,Stroud Regional Medical Center,Stroud,OK,Closed
6731185,Shadow Mountain Behavioral Health System,Tulsa,OK,Closed
6740022,Encompass Health Rehabilitation Hospital of Fort Worth,Fort Worth,TX,Closed
6740049,Kindred Rehabilitation Hospital Clear Lake,Webster,TX,"Merged into 6741151 PAM Rehabilitation Hospital of Clear Webster, TX"
6740068,AMG Specialty Hospital,San Antonio,TX,Closed
6740096,Kindred Hospital-Fort Worth,Fort Worth,TX,Closed
6740116,SCA Houston Hospital for Specialized Surgery,Houston,TX,Closed
6740230,CHRISTUS Dubuis Hospital of Paris,Paris,TX,Closed
6740262,Mid-Jefferson Extended Care Hospital,Nederland,TX,"Merged into 6741036 Mid-Jefferson Extended Care Hospital of Beaumont Beaumont, TX"
6740292,PAM Specialty Hospital of Corpus Christi South,Corpus Christi,TX,Closed
6740373,Kindred Hospital Tomball,Tomball,TX,Closed
6740391,Atrium Medical Center of Corinth,Corinth,TX,Closed
6740394,Sagecrest Hospital of Grapevine,Grapevine,TX,Closed
6740410,USMD Hospital at Fort Worth,Fort Worth,TX,Closed
6740597,Chillicothe Hospital District,Chillicothe,TX,Closed
6740658,Select Rehabilitation Hospital of San Antonio,San Antonio,TX,"Merged into 6740417 Methodist Stone Oak Hospital San Antonio, TX"
6740887,Sundance Hospital Arlington,Arlington,TX,Closed
6740898,Kindred Rehabilitation Hospital Northeast Houston,Humble,TX,Closed
6740929,HEALTHSOUTH Rehabilitation Hospital - Austin,Austin,TX,Closed
6740940,Hermann Drive Surgical Hospital,Houston,TX,Closed
6740956,Plano Surgical Hospital,Plano,TX,Closed
6740969,ContinueCARE Hospital at Midland Memorial,Midland,TX,Closed
6740970,Kindred Hospital-Dallas,Dallas,TX,Closed
6741042,Memorial Hermann Tomball Hospital,Tomball,TX,Closed
6741044,"William P. Clements, Jr. University Hospital",Dallas,TX,"Merged into 6740343 University of Texas Southwestern Medical Center Dallas, TX"
6741094,Providence Hospital of North Houston,Houston,TX,Closed
6741616,Baylor Medical Center at Garland,Garland,TX,Closed
6741735,Texas General Hospital - Van Zandt Regional Medical Center,Grand Saline,TX,Closed
6742150,Allegiance Specialty Hospital of Kilgore,Kilgore,TX,Closed
6743070,Nix Health Care System,San Antonio,TX,Closed
6830069,Mountain View Regional Hospital,Casper,WY,Urgent Care Center
6840156,Kindred Hospital Denver South,Denver,CO,Closed
6860290,St. Luke's Medical Center,Phoenix,AZ,Closed
6860454,Scottsdale Liberty Hospital,Scottsdale,AZ,Closed
6860483,Hacienda Children's Hospital,Mesa,AZ,Closed
6870330,University of Utah Neuropsychiatric Institute,Salt Lake City,UT,"Merged into 6870315 University of Utah Health Salt Lake City, UT"
6879349,Landmark Hospital of Salt Lake City,Murray,UT,Closed
6910802,Kindred Hospital Seattle-Northgate,Seattle,WA,Closed
6911240,Astria Regional Medical Center,Yakima,WA,Closed
6931570,Promise Hospital of East Los Angeles,Los Angeles,CA,Closed
6931730,St. Vincent Medical Center,Los Angeles,CA,Closed
6940205,Sitka Community Hospital,Sitka,AK,Closed
